"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2025","jif_quartile","jci_2025","percent_citable_oa"
"Nano Research Energy","2791-0091","2790-8119","('ENERGY & FUELS', 'NANOSCIENCE & NANOTECHNOLOGY')","('ESCI', 'ESCI')","2,652","22.6","('Q1', 'Q1')","2.61","100.00"
"Lancet Global Health","2214-109X","2214-109X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE', 'SSCI')","31,059","22.5","Q1","5.66","96.20"
"Annual Review of Marine Science","1941-1405","1941-0611","('GEOCHEMISTRY & GEOPHYSICS', 'MARINE & FRESHWATER BIOLOGY', 'OCEANOGRAPHY')","('SCIE', 'SCIE', 'SCIE')","8,150","22.5","('Q1', 'Q1', 'Q1')","2.69","100.00"
"Interdisciplinary Materials","2767-4401","2767-441X","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED')","('ESCI', 'ESCI', 'ESCI')","3,176","22.5","('Q1', 'Q1', 'Q1')","2.40","100.00"
"Opto-Electronic Advances","2096-4579","2097-3993","OPTICS","('SCIE',)","4,332","22.4","Q1","5.49","100.00"
"JACC-Journal of the American College of Cardiology","0735-1097","1558-3597","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","124,430","22.3","Q1","5.11","21.60"
"DRUG RESISTANCE UPDATES","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY","('SCIE',)","9,360","22.0","Q1","4.47","35.71"
"Nature Reviews Psychology","","2731-0574","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","4,045","22.0","Q1","3.76","0.00"
"INTENSIVE CARE MEDICINE","0342-4642","1432-1238","CRITICAL CARE MEDICINE","('SCIE',)","34,080","22.0","Q1","3.64","41.99"
"Lancet Microbe","","2666-5247","('INFECTIOUS DISEASES', 'MICROBIOLOGY')","('SCIE', 'SCIE')","8,267","21.9","('Q1', 'Q1')","3.69","99.68"
"KIDNEY INTERNATIONAL","0085-2538","1523-1755","UROLOGY & NEPHROLOGY","('SCIE',)","52,229","21.8","Q1","5.07","43.31"
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","1073-449X","1535-4970","('CRITICAL CARE MEDICINE', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","71,648","21.7","('Q1', 'Q1')","4.75","22.42"
"Clinical and Molecular Hepatology","2287-2728","2287-285X","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","6,351","21.7","Q1","3.20","100.00"
"Journal of Extracellular Vesicles","","2001-3078","CELL BIOLOGY","('SCIE',)","19,056","21.7","Q1","2.83","100.00"
"Trends in Cancer","2405-8033","2405-8025","ONCOLOGY","('SCIE',)","11,685","21.6","Q1","2.27","29.52"
"Green Energy and Intelligent Transportation","2097-2512","2773-1537","TRANSPORTATION SCIENCE & TECHNOLOGY","('SCIE',)","2,693","21.5","Q1","2.78","100.00"
"Carbon Neutralization","2769-3333","2769-3325","('GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","2,824","21.5","('Q1', 'Q1')","2.00","100.00"
"Carbon Energy","","2637-9368","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","11,725","21.4","('Q1', 'Q1', 'Q1', 'Q1')","2.58","100.00"
"TRENDS IN PLANT SCIENCE","1360-1385","1878-4372","PLANT SCIENCES","('SCIE',)","35,314","21.2","Q1","2.44","33.33"
"Lancet Psychiatry","2215-0366","2215-0374","PSYCHIATRY","('SCIE', 'SSCI')","23,610","21.1","Q1","6.11","31.63"
"MATERIALS SCIENCE & ENGINEERING R-REPORTS","0927-796X","1879-212X","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE')","13,974","21.1","('Q1', 'Q1')","1.60","20.81"
"ADVANCED DRUG DELIVERY REVIEWS","0169-409X","1872-8294","PHARMACOLOGY & PHARMACY","('SCIE',)","54,536","21.0","Q1","2.36","30.83"
"Cyborg and Bionic Systems","","2692-7632","('ENGINEERING, BIOMEDICAL', 'ROBOTICS')","('SCIE', 'SCIE')","2,883","20.9","('Q1', 'Q1')","3.09","100.00"
"Science Bulletin","2095-9273","2095-9281","MULTIDISCIPLINARY SCIENCES","('SCIE',)","27,405","20.7","Q1","2.98","29.90"
"CLINICAL MICROBIOLOGY REVIEWS","0893-8512","1098-6618","MICROBIOLOGY","('SCIE',)","27,202","20.7","Q1","1.97","5.19"
"Nature Geoscience","1752-0894","1752-0908","GEOSCIENCES, MULTIDISCIPLINARY","('SCIE',)","47,316","20.6","Q1","4.36","43.80"
"Lancet Planetary Health","","2542-5196","('ENVIRONMENTAL SCIENCES', 'PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH')","('SCIE', 'SCIE, SSCI')","14,537","20.5","('Q1', 'Q1')","4.37","98.57"
"Lancet Healthy Longevity","2666-7568","2666-7568","GERIATRICS & GERONTOLOGY","('SCIE',)","5,878","20.5","Q1","3.66","99.51"
"Nano Materials Science","2096-6482","2589-9651","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('ESCI', 'ESCI')","4,087","20.5","('Q1', 'Q1')","2.63","100.00"
"Lancet Haematology","2352-3026","","HEMATOLOGY","('SCIE',)","8,860","20.4","Q1","4.39","11.88"
"IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE","0162-8828","1939-3539","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'ENGINEERING, ELECTRICAL & ELECTRONIC')","('SCIE', 'SCIE')","123,304","20.4","('Q1', 'Q1')","3.93","5.12"
"EnergyChem","2589-7780","2589-7780","('CHEMISTRY, MULTIDISCIPLINARY', 'ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI', 'ESCI', 'ESCI')","3,027","20.4","('Q1', 'Q1', 'Q1', 'Q1')","3.69","5.80"
"NATURE NEUROSCIENCE","1097-6256","1546-1726","NEUROSCIENCES","('SCIE',)","79,106","20.3","Q1","5.35","47.19"
"SEMINARS IN CANCER BIOLOGY","1044-579X","1096-3650","ONCOLOGY","('SCIE',)","21,930","20.3","Q1","3.70","30.52"
"Nature Computational Science","","2662-8457","('COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS', 'COMPUTER SCIENCE, THEORY & METHODS', 'MULTIDISCIPLINARY SCIENCES')","('SCIE', 'SCIE', 'SCIE')","6,661","20.3","('Q1', 'Q1', 'Q1')","3.60","29.75"
"Annual Review of Physiology","0066-4278","1545-1585","PHYSIOLOGY","('SCIE',)","12,413","20.3","Q1","3.01","98.41"
"TRENDS IN COGNITIVE SCIENCES","1364-6613","1879-307X","('BEHAVIORAL SCIENCES', 'NEUROSCIENCES', 'PSYCHOLOGY, EXPERIMENTAL')","('SCIE', 'SCIE', 'SSCI')","40,204","20.3","('Q1', 'Q1', 'Q1')","2.54","34.80"
"PHARMACOLOGICAL REVIEWS","0031-6997","1521-0081","PHARMACOLOGY & PHARMACY","('SCIE',)","14,680","20.3","Q1","2.35","34.42"
"HUMAN REPRODUCTION UPDATE","1355-4786","1460-2369","('OBSTETRICS & GYNECOLOGY', 'REPRODUCTIVE BIOLOGY')","('SCIE', 'SCIE')","14,734","20.1","('Q1', 'Q1')","4.41","47.25"
"Bone Research","2095-4700","2095-6231","CELL & TISSUE ENGINEERING","('SCIE',)","8,555","20.1","Q1","3.37","100.00"
"Radiology-Artificial Intelligence","2638-6100","2638-6100","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING')","('SCIE', 'SCIE')","4,771","20.1","('Q1', 'Q1')","3.22","17.39"
"ASTRONOMY AND ASTROPHYSICS REVIEW","0935-4956","1432-0754","ASTRONOMY & ASTROPHYSICS","('SCIE',)","3,674","20.1","Q1","3.12","75.00"
"TRENDS IN ENDOCRINOLOGY AND METABOLISM","1043-2760","1879-3061","ENDOCRINOLOGY & METABOLISM","('SCIE',)","15,416","20.1","Q1","2.27","23.12"
"Mycosphere","2077-7000","2077-7019","MYCOLOGY","('SCIE',)","3,955","19.9","Q1","5.05","98.02"
"Journal of Bioresources and Bioproducts","2097-2415","2369-9698","MATERIALS SCIENCE, PAPER & WOOD","('SCIE',)","2,701","19.9","Q1","4.68","100.00"
"PSYCHOLOGICAL BULLETIN","0033-2909","1939-1455","('PSYCHOLOGY', 'PSYCHOLOGY, MULTIDISCIPLINARY')","('SCIE', 'SSCI')","67,853","19.9","('Q1', 'Q1')","4.52","37.84"
"ADVANCED FUNCTIONAL MATERIALS","1616-301X","1616-3028","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED', 'PHYSICS, CONDENSED MATTER')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","413,943","19.9","('Q1', 'Q1', 'Q1', 'Q1', 'Q1', 'Q1')","2.54","17.82"
"Applied Catalysis B-Environment and Energy","0926-3373","1873-3883","('CHEMISTRY, PHYSICAL', 'ENGINEERING, CHEMICAL', 'ENGINEERING, ENVIRONMENTAL')","('SCIE', 'SCIE', 'SCIE')","183,973","19.7","('Q1', 'Q1', 'Q1')","2.68","10.47"
"Molecular Neurodegeneration","","1750-1326","NEUROSCIENCES","('SCIE',)","14,388","19.6","Q1","3.58","100.00"
"InfoMat","","2567-3165","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","9,591","19.6","Q1","2.52","100.00"
"Advanced Photonics","","2577-5421","OPTICS","('SCIE',)","4,650","19.5","Q1","3.96","100.00"
"Energy Storage Materials","2405-8297","2405-8289","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","75,374","19.3","('Q1', 'Q1', 'Q1')","2.71","11.12"
"SusMat","2766-8479","2692-4552","('CHEMISTRY, MULTIDISCIPLINARY', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE', 'SCIE')","4,183","19.2","('Q1', 'Q1', 'Q1')","2.36","100.00"
"Journal of Nanostructure in Chemistry","2008-9244","2193-8865","('CHEMISTRY, MULTIDISCIPLINARY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","2,841","19.2","('Q1', 'Q1', 'Q1')","1.24","8.11"
"Translational Neurodegeneration","2047-9158","2047-9158","NEUROSCIENCES","('SCIE',)","6,340","19.1","Q1","2.78","100.00"
"Chem","2451-9294","2451-9294","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","31,913","19.1","Q1","2.45","18.17"
"Applied Mechanics Reviews","0003-6900","2379-0407","MECHANICS","('SCIE',)","6,132","19.1","Q1","1.26","4.00"
"JACC-Cardiovascular Imaging","1936-878X","1876-7591","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING')","('SCIE', 'SCIE')","19,131","19.0","('Q1', 'Q1')","4.34","31.49"
"Annual Review of Pharmacology and Toxicology","0362-1642","1545-4304","('PHARMACOLOGY & PHARMACY', 'TOXICOLOGY')","('SCIE', 'SCIE')","9,259","19.0","('Q1', 'Q1')","2.35","100.00"
"Annual Review of Medicine","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL","('SCIE',)","8,605","18.8","Q1","2.49","100.00"
"ARTIFICIAL INTELLIGENCE REVIEW","0269-2821","1573-7462","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","('SCIE',)","31,582","18.8","Q1","2.41","79.12"
"Nature Microbiology","2058-5276","2058-5276","MICROBIOLOGY","('SCIE',)","32,131","18.7","Q1","4.62","45.63"
"eTransportation","2590-1168","2590-1168","('ENERGY & FUELS', 'ENGINEERING, ELECTRICAL & ELECTRONIC', 'TRANSPORTATION SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE')","6,574","18.7","('Q1', 'Q1', 'Q1')","2.96","18.97"
"TRENDS IN MICROBIOLOGY","0966-842X","1878-4380","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'MICROBIOLOGY')","('SCIE', 'SCIE')","21,555","18.7","('Q1', 'Q1')","1.65","33.06"
"Annual Review of Clinical Psychology","1548-5943","1548-5951","('PSYCHOLOGY', 'PSYCHOLOGY, CLINICAL')","('SCIE', 'SSCI')","12,319","18.6","('Q1', 'Q1')","2.52","98.31"
"Autophagy","1554-8627","1554-8635","CELL BIOLOGY","('SCIE',)","34,458","18.6","Q1","1.78","22.94"
"Nature Protocols","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","('SCIE',)","62,362","18.4","Q1","3.90","3.54"
"Advanced Industrial and Engineering Polymer Research","2542-5048","2542-5048","('MATERIALS SCIENCE, COMPOSITES', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'POLYMER SCIENCE')","('ESCI', 'ESCI', 'ESCI')","2,943","18.4","('Q1', 'Q1', 'Q1')","2.27","88.35"
"STUDIES IN MYCOLOGY","0166-0616","1872-9797","MYCOLOGY","('SCIE',)","5,882","18.3","Q1","5.09","44.44"
"IEEE-CAA Journal of Automatica Sinica","2329-9266","2329-9274","AUTOMATION & CONTROL SYSTEMS","('SCIE',)","14,101","18.3","Q1","3.09","0.00"
"Advances in Applied Energy","2666-7924","2666-7924","ENERGY & FUELS","('ESCI',)","3,264","18.3","Q1","1.87","100.00"
"Protein & Cell","1674-800X","1674-8018","CELL BIOLOGY","('SCIE',)","9,917","18.2","Q1","1.50","100.00"
"Nature Communications","","2041-1723","MULTIDISCIPLINARY SCIENCES","('SCIE',)","1,166,083","18.1","Q1","3.47","99.94"
"National Science Review","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES","('SCIE',)","25,850","18.1","Q1","2.74","100.00"
"PROGRESS IN LIPID RESEARCH","0163-7827","1873-2194","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'NUTRITION & DIETETICS')","('SCIE', 'SCIE')","8,950","18.1","('Q1', 'Q1')","1.75","50.72"
"TRENDS IN MOLECULAR MEDICINE","1471-4914","1471-499X","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE', 'SCIE')","15,407","18.1","('Q1', 'Q1', 'Q1')","1.46","31.13"
"Nature Physics","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","61,359","18.0","Q1","4.75","30.84"
"JAMA Psychiatry","2168-622X","2168-6238","PSYCHIATRY","('SCIE', 'SSCI')","28,366","18.0","Q1","4.68","25.00"
"PhotoniX","","2662-1991","OPTICS","('SCIE',)","2,839","18.0","Q1","4.49","100.00"
"CIRCULATION RESEARCH","0009-7330","1524-4571","('CARDIAC & CARDIOVASCULAR SYSTEMS', 'HEMATOLOGY', 'PERIPHERAL VASCULAR DISEASE')","('SCIE', 'SCIE', 'SCIE')","68,904","18.0","('Q1', 'Q1', 'Q1')","4.06","23.38"
"npj Digital Medicine","2398-6352","2398-6352","('HEALTH CARE SCIENCES & SERVICES', 'MEDICAL INFORMATICS')","('SCIE', 'SCIE')","25,262","18.0","('Q1', 'Q1')","3.72","100.00"
"Academy of Management Annals","1941-6520","1941-6067","('BUSINESS', 'MANAGEMENT')","('SSCI', 'SSCI')","12,173","18.0","('Q1', 'Q1')","3.27","1.49"
"HEPATOLOGY","0270-9139","1527-3350","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","74,432","18.0","Q1","3.25","22.22"
"RENEWABLE & SUSTAINABLE ENERGY REVIEWS","1364-0321","1879-0690","('ENERGY & FUELS', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE')","208,082","18.0","('Q1', 'Q1')","2.09","32.04"
"ACCOUNTS OF CHEMICAL RESEARCH","0001-4842","1520-4898","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","92,046","18.0","Q1","1.25","23.71"
"Smart Learning Environments","","2196-7091","EDUCATION & EDUCATIONAL RESEARCH","('SSCI',)","3,933","17.9","Q1","5.82","100.00"
"TRENDS IN ECOLOGY & EVOLUTION","0169-5347","1872-8383","('ECOLOGY', 'EVOLUTIONARY BIOLOGY', 'GENETICS & HEREDITY')","('SCIE', 'SCIE', 'SCIE')","43,414","17.9","('Q1', 'Q1', 'Q1')","2.44","42.45"
"PERIODONTOLOGY 2000","0906-6713","1600-0757","DENTISTRY, ORAL SURGERY & MEDICINE","('SCIE',)","13,597","17.8","Q1","3.56","79.08"
"Psychological Science in the Public Interest","1529-1006","2160-0031","PSYCHOLOGY, MULTIDISCIPLINARY","('SSCI',)","3,613","17.6","Q1","5.24","33.33"
"AMERICAN JOURNAL OF BIOETHICS","1526-5161","1536-0075","('ETHICS', 'MEDICAL ETHICS', 'SOCIAL ISSUES', 'SOCIAL SCIENCES, BIOMEDICAL')","('SSCI', 'SCIE', 'SSCI', 'SSCI')","4,445","17.6","('Q1', 'Q1', 'Q1', 'Q1')","5.10","23.00"
"International Journal of Oral Science","1674-2818","2049-3169","DENTISTRY, ORAL SURGERY & MEDICINE","('SCIE',)","6,433","17.6","Q1","4.70","100.00"
"RADIOLOGY","0033-8419","1527-1315","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","('SCIE',)","61,752","17.6","Q1","4.15","10.60"
"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION","1433-7851","1521-3773","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","584,988","17.6","Q1","2.54","22.12"
"Nature Human Behaviour","2397-3374","2397-3374","('MULTIDISCIPLINARY SCIENCES', 'NEUROSCIENCES', 'PSYCHOLOGY, EXPERIMENTAL')","('SCIE', 'SCIE', 'SSCI')","21,937","17.5","('Q1', 'Q1', 'Q1')","3.95","35.94"
"Journal of the National Comprehensive Cancer Network","1540-1405","1540-1413","ONCOLOGY","('SCIE',)","16,909","17.5","Q1","3.29","0.48"
"ACS Energy Letters","2380-8195","2380-8195","('CHEMISTRY, PHYSICAL', 'ELECTROCHEMISTRY', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE', 'SCIE')","73,417","17.5","('Q1', 'Q1', 'Q1', 'Q1', 'Q1')","2.33","19.75"
"Experimental Hematology & Oncology","","2162-3619","('HEMATOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","5,424","17.5","('Q1', 'Q1')","2.25","100.00"
"EXPERIMENTAL AND MOLECULAR MEDICINE","1226-3613","2092-6413","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE')","25,742","17.5","('Q1', 'Q1')","2.12","100.00"
"Computer Science Review","1574-0137","1876-7745","('COMPUTER SCIENCE, INFORMATION SYSTEMS', 'COMPUTER SCIENCE, SOFTWARE ENGINEERING', 'COMPUTER SCIENCE, THEORY & METHODS')","('SCIE', 'SCIE', 'SCIE')","6,498","17.5","('Q1', 'Q1', 'Q1')","1.79","28.10"
"Information Fusion","1566-2535","1872-6305","('COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE', 'COMPUTER SCIENCE, THEORY & METHODS')","('SCIE', 'SCIE')","40,171","17.4","('Q1', 'Q1')","3.07","15.32"
"TRENDS IN FOOD SCIENCE & TECHNOLOGY","0924-2244","1879-3053","FOOD SCIENCE & TECHNOLOGY","('SCIE',)","66,930","17.4","Q1","2.94","17.19"
"Energy Material Advances","2097-1133","2692-7640","PHYSICS, APPLIED","('ESCI',)","2,281","17.4","Q1","2.16","100.00"
"ACS Nano","1936-0851","1936-086X","('CHEMISTRY, MULTIDISCIPLINARY', 'CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","291,591","17.3","('Q1', 'Q1', 'Q1', 'Q1')","2.22","16.40"
"ANNALS OF INTERNAL MEDICINE","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","('SCIE',)","69,750","17.2","Q1","3.66","0.70"
"Annual Review of Public Health","0163-7525","1545-2093","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE', 'SSCI')","13,577","17.2","Q1","3.35","100.00"
"Chinese Journal of Catalysis","0253-9837","1872-2067","('CHEMISTRY, APPLIED', 'CHEMISTRY, PHYSICAL', 'ENGINEERING, CHEMICAL')","('SCIE', 'SCIE', 'SCIE')","22,931","17.2","('Q1', 'Q1', 'Q1')","2.14","6.34"
"BMEMat","2751-7438","2751-7446","('MATERIALS SCIENCE, BIOMATERIALS', 'NANOSCIENCE & NANOTECHNOLOGY')","('ESCI', 'ESCI')","1,593","17.2","('Q1', 'Q1')","1.36","100.00"
"JAMA Pediatrics","2168-6203","2168-6211","PEDIATRICS","('SCIE',)","21,513","17.1","Q1","6.51","23.13"
"Nature Ecology & Evolution","2397-334X","2397-334X","('ECOLOGY', 'EVOLUTIONARY BIOLOGY')","('SCIE', 'SCIE')","27,566","17.1","('Q1', 'Q1')","4.14","41.32"
"Journal of Advanced Research","2090-1232","2090-1224","MULTIDISCIPLINARY SCIENCES","('SCIE',)","21,564","17.1","Q1","3.30","100.00"
"Current Obesity Reports","2162-4968","2162-4968","('ENDOCRINOLOGY & METABOLISM', 'NUTRITION & DIETETICS')","('SCIE', 'SCIE')","5,700","17.0","('Q1', 'Q1')","1.92","50.28"
"INTERNATIONAL MATERIALS REVIEWS","0950-6608","1743-2804","MATERIALS SCIENCE, MULTIDISCIPLINARY","('SCIE',)","9,423","17.0","Q1","1.00","26.00"
"Neuron","0896-6273","1097-4199","NEUROSCIENCES","('SCIE',)","108,660","16.9","Q1","3.79","35.44"
"Annual Review of Entomology","0066-4170","1545-4487","ENTOMOLOGY","('SCIE',)","16,834","16.9","Q1","3.12","100.00"
"Cell Discovery","","2056-5968","CELL BIOLOGY","('SCIE',)","8,357","16.9","Q1","1.86","100.00"
"FEMS MICROBIOLOGY REVIEWS","0168-6445","1574-6976","MICROBIOLOGY","('SCIE',)","19,031","16.9","Q1","1.46","79.11"
"Physical Review X","2160-3308","2160-3308","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","40,187","16.8","Q1","4.01","99.59"
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","0733-8716","1558-0008","('ENGINEERING, ELECTRICAL & ELECTRONIC', 'TELECOMMUNICATIONS')","('SCIE', 'SCIE')","32,068","16.8","('Q1', 'Q1')","3.52","4.95"
"Journal of Materials Science & Technology","1005-0302","1941-1162","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'METALLURGY & METALLURGICAL ENGINEERING')","('SCIE', 'SCIE')","77,520","16.8","('Q1', 'Q1')","2.84","6.33"
"Smart Molecules","2751-4587","2751-4595","CHEMISTRY, MULTIDISCIPLINARY","('ESCI',)","1,350","16.8","Q1","1.42","100.00"
"METABOLISM-CLINICAL AND EXPERIMENTAL","0026-0495","1532-8600","ENDOCRINOLOGY & METABOLISM","('SCIE',)","23,897","16.7","Q1","2.65","21.26"
"Nano Energy","2211-2855","2211-3282","('CHEMISTRY, PHYSICAL', 'MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY', 'PHYSICS, APPLIED')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","135,022","16.7","('Q1', 'Q1', 'Q1', 'Q1')","2.38","10.58"
"Green Energy & Environment","2096-2797","2468-0257","('CHEMISTRY, PHYSICAL', 'ENERGY & FUELS', 'ENGINEERING, CHEMICAL', 'GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY')","('SCIE', 'SCIE', 'SCIE', 'SCIE')","8,773","16.7","('Q1', 'Q1', 'Q1', 'Q1')","2.11","99.07"
"Journal of the American Chemical Society","0002-7863","1520-5126","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","628,967","16.6","Q1","2.55","23.25"
"TRENDS IN BIOTECHNOLOGY","0167-7799","1879-3096","BIOTECHNOLOGY & APPLIED MICROBIOLOGY","('SCIE',)","21,544","16.6","Q1","1.64","28.57"
"Energy Reviews","","2772-9702","('ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","1,233","16.5","('Q1', 'Q1')","1.18","100.00"
"Science Immunology","2470-9468","2470-9468","IMMUNOLOGY","('SCIE',)","16,066","16.4","Q1","3.70","5.32"
"Biomedical Technology","","2949-723X","('ENGINEERING, BIOMEDICAL', 'MATERIALS SCIENCE, BIOMATERIALS')","('ESCI', 'ESCI')","1,023","16.4","('Q1', 'Q1')","2.31","100.00"
"Annual Review of Environment and Resources","1543-5938","1545-2050","('ENVIRONMENTAL SCIENCES', 'ENVIRONMENTAL STUDIES')","('SCIE', 'SSCI')","10,013","16.3","('Q1', 'Q1')","1.54","100.00"
"MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT","0149-2195","1545-861X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","('SCIE',)","27,765","16.2","Q1","5.79","85.56"
"PROGRESS IN RETINAL AND EYE RESEARCH","1350-9462","1873-1635","OPHTHALMOLOGY","('SCIE',)","14,334","16.2","Q1","3.46","42.24"
"Redox Biology","2213-2317","2213-2317","BIOCHEMISTRY & MOLECULAR BIOLOGY","('SCIE',)","46,483","16.2","Q1","2.90","99.92"
"Clinical Gastroenterology and Hepatology","1542-3565","1542-7714","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","34,511","16.2","Q1","2.81","25.64"
"Materials Reports: Energy","","2666-9358","('CHEMISTRY, MULTIDISCIPLINARY', 'ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI', 'ESCI')","1,829","16.2","('Q1', 'Q1', 'Q1')","1.66","100.00"
"Artificial Intelligence in Agriculture","2097-2113","2589-7217","('AGRICULTURE, MULTIDISCIPLINARY', 'COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE')","('SCIE', 'SCIE')","2,650","16.1","('Q1', 'Q1')","2.80","99.28"
"Molecular Cell","1097-2765","1097-4164","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","88,599","16.0","('Q1', 'Q1')","2.60","39.49"
"IEEE Reviews in Biomedical Engineering","1937-3333","1941-1189","ENGINEERING, BIOMEDICAL","('SCIE',)","3,840","16.0","Q1","2.52","22.00"
"International Journal of Mining Science and Technology","2095-2686","2212-6066","MINING & MINERAL PROCESSING","('SCIE',)","11,481","15.9","Q1","4.40","100.00"
"AMERICAN JOURNAL OF PSYCHIATRY","0002-953X","1535-7228","PSYCHIATRY","('SCIE', 'SSCI')","40,251","15.9","Q1","3.67","1.00"
